centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
2809783,41300.7,41300.7,,2326.0,2836.0,,,,
2809972,9833.0,9833.0,,457.0,1052.0,,,,
2820403,83.0,83.0,,6.0,10.0,29.9,41.9,48.3,
2820671,681.7,688.5,668.0,51.0,73.0,21.0,29.2,33.3,
2820773,19077.0,19077.0,,1145.0,1618.0,47.4,54.4,59.4,
2820803,18445.7,18445.7,,1563.0,1724.0,49.8,58.0,63.4,
2820898,707.0,707.0,,59.0,64.0,38.6,47.5,52.3,
2821086,10324.7,10324.7,,909.0,589.0,,,,
2821261,3615.7,3615.7,,307.0,361.0,41.4,48.5,53.3,
2824768,335.3,335.3,,57.0,34.0,32.0,41.8,47.3,
2836236,870.3,906.5,798.0,62.0,118.0,21.7,31.7,34.7,
2839436,501.0,512.5,478.0,34.0,47.0,23.0,31.7,34.5,
2842418,684.0,687.5,677.0,46.0,60.0,27.3,34.2,38.4,
2842508,8066.0,8066.0,,664.0,848.0,38.8,48.1,54.1,
2854059,32157.3,32157.3,,1567.0,2383.0,,,,
2874263,1959.0,1959.0,,168.0,164.0,38.4,48.2,52.9,
2874285,2546.0,2546.0,,209.0,225.0,37.9,46.0,49.8,
2884176,7603.7,7603.7,,700.0,511.0,,,,
2884227,9532.7,9532.7,,632.0,721.0,,,,
2884350,7494.0,7494.0,,414.0,425.0,30.1,41.7,47.3,
2884353,6931.3,6931.3,,358.0,402.0,30.8,42.1,48.3,
2884873,1849.5,1849.5,,220.0,178.0,38.0,47.0,52.8,
2893381,10115.7,10115.7,,620.0,940.0,,,,
2893418,2123.2,2123.2,,166.0,176.0,,,,0.071
2893461,9335.0,9335.0,,1100.0,623.0,,,,
2893636,4595.3,4595.3,,402.0,424.0,,,,
2893805,7587.3,7587.3,,397.0,704.0,52.7,59.9,66.3,
2903362,3896.0,3896.0,,403.0,352.0,43.7,54.5,59.5,
2903468,3184.0,3184.0,,254.0,343.0,36.0,44.8,49.8,
2903472,7935.3,7935.3,,642.0,674.0,39.3,46.8,51.7,
2904679,1524.3,1524.3,,117.0,126.0,,,,
2904680,635.0,635.0,,51.0,60.0,24.6,33.9,38.3,
2905626,14133.7,14133.7,,932.0,1131.0,,,,
2905837,15036.3,15036.3,,1081.0,1036.0,,,,
2917480,1119.0,1119.0,,112.0,87.0,33.6,42.6,46.9,
2917523,219.0,219.0,,23.0,22.0,18.3,27.6,29.8,
2917726,20209.5,20209.5,,1589.0,1675.0,62.4,71.2,78.3,
2917728,17750.7,17750.7,,1121.0,1168.0,,,,
2920354,7898.7,7898.7,,701.0,773.0,,,,
2920360,20545.0,20545.0,,1575.0,1547.0,,,,
2920545,2713.0,2713.0,,236.0,274.0,45.7,53.8,59.7,
2920777,4561.0,4561.0,,303.0,406.0,,,,
2921059,1359.0,1359.0,,209.0,143.0,30.0,37.0,39.9,
2944411,702.3,702.3,,55.0,55.0,37.0,46.6,49.9,
2945620,229.5,229.5,,32.0,24.0,31.4,39.2,44.1,
2950062,1380.3,1380.3,,110.0,138.0,,,,
2967295,13672.7,13672.7,,931.0,1233.0,,,,
2967336,7442.0,7442.0,,802.0,577.0,,,,
2967346,1196.0,1196.0,,159.0,118.0,36.8,44.2,48.8,
2981064,2149.0,2149.0,,300.0,235.0,43.6,52.8,58.3,
2981200,98.5,98.5,,16.0,17.0,14.6,23.3,24.9,
2984597,1934.3,1934.3,,169.0,161.0,,,,
2984771,2307.0,2307.0,,314.0,231.0,43.4,52.3,57.8,
2986349,4695.0,4695.0,,360.0,404.0,39.6,47.2,51.6,
2991651,9479.0,9479.0,,642.0,1052.0,,,,
2992089,6086.8,6716.5,5457.0,885.0,390.0,,,,
3008327,955.5,955.5,,120.0,118.0,41.1,48.5,53.4,
3008328,1062.0,1062.0,,219.0,112.0,44.8,52.8,57.7,
3011699,26612.4,27003.8,25634.0,1583.0,1793.0,53.0,62.6,68.7,
3016148,346.0,346.0,,33.0,36.0,35.0,41.6,44.4,
3031353,2183.0,2183.0,,227.0,221.0,35.1,43.4,48.1,
3031663,1860.0,1860.0,,199.0,173.0,38.2,46.7,51.7,
3040726,624.0,624.0,,45.0,76.0,31.2,39.0,43.7,
3040786,1212.0,1212.0,,98.0,127.0,32.9,39.5,44.1,
3049194,1391.0,1391.0,,168.0,131.0,41.5,49.0,53.8,
3049683,4075.3,4075.3,,345.0,331.0,39.3,46.1,49.6,
3051492,3732.3,3732.3,,359.0,242.0,,,,
3051493,3031.7,3031.7,,206.0,273.0,37.2,43.7,49.1,
3051494,3333.0,3333.0,,314.0,261.0,,,,
3054043,4105.0,4105.0,,364.0,364.0,36.9,44.7,49.4,
3057642,7180.7,7180.7,,506.0,887.0,,,,
3065726,2768.0,2768.0,,371.0,264.0,38.1,45.0,50.0,
3065748,11800.6,12133.2,10969.0,777.0,767.0,,,,
3065754,14717.3,14717.3,,672.0,993.0,,,,
3065779,2883.0,2883.0,,270.0,261.0,32.2,38.8,42.9,
3065783,2937.5,2937.5,,303.0,270.0,32.9,39.4,43.9,
3065787,2515.5,2515.5,,288.0,211.0,36.6,43.7,48.1,
3065863,1883.0,1883.0,,141.0,190.0,45.5,53.6,58.8,
3072670,545.7,545.7,,39.0,46.0,32.7,42.2,47.0,
3072730,2767.5,2767.5,,255.0,226.0,37.0,43.7,48.1,
3072773,5674.7,5674.7,,413.0,631.0,,,,
3072790,2911.7,2911.7,,259.0,241.0,,,,
3072827,1874.0,1874.0,,181.0,221.0,31.8,39.1,44.0,
3072834,7288.0,7288.0,,603.0,739.0,,,,
3082650,2289.7,2289.7,,205.0,202.0,39.6,47.7,52.0,
3083026,1412.0,1412.0,,102.0,112.0,34.8,43.2,47.9,
3083027,2234.0,2234.0,,202.0,204.0,58.8,68.1,74.0,
3086202,14857.0,14857.0,,1141.0,1345.0,,,,
3088146,1487.0,1487.0,,228.0,149.0,40.0,48.3,53.4,
3093106,774.0,774.0,,67.0,70.0,42.4,49.8,54.7,
3093170,357.0,357.0,,31.0,1.0,35.8,47.6,53.4,
3093392,788.0,788.0,,82.0,84.0,38.0,44.6,48.9,
3102849,2009.7,2009.7,,210.0,224.0,38.2,44.3,48.6,
3104642,2000.5,2000.5,,156.0,205.0,35.4,47.7,52.4,
3107766,1865.3,1865.3,,168.0,169.0,39.5,46.5,49.9,
3111364,1792.3,1792.3,,158.0,193.0,,,,
3111476,989.7,989.7,,103.0,100.0,36.7,44.2,48.8,
3111557,1950.0,1950.0,,257.0,218.0,39.2,47.9,53.2,
3111593,623.7,623.7,,91.0,46.0,27.7,34.6,38.6,
3115705,1339.3,1339.3,,152.0,180.0,30.8,37.2,39.9,
3121347,7109.3,7109.3,,607.0,723.0,,,,
3121399,326.3,326.3,,82.0,70.0,28.3,35.0,39.7,
3121452,5545.7,5545.7,,579.0,620.0,59.7,66.9,71.7,
3125849,16698.0,16698.0,,1121.0,1385.0,53.8,64.1,68.8,
3130453,980.0,980.0,,83.0,79.0,27.2,38.1,43.1,
3130598,6861.0,6861.0,,522.0,539.0,30.6,39.1,43.6,
3130612,1398.7,1398.7,,117.0,151.0,31.9,38.4,42.2,
3147580,5870.0,5870.0,,607.0,461.0,32.8,39.9,44.2,
3154256,6331.6,6624.0,5600.5,429.0,405.0,34.8,42.6,48.0,
3177633,1309.0,1309.0,,92.0,95.0,18.7,27.5,31.7,
3202160,2749.3,2749.3,,271.0,276.0,32.0,38.7,42.8,
3202233,1067.0,1067.0,,75.0,120.0,37.5,46.7,51.7,
3202314,942.7,942.7,,50.0,118.0,31.8,38.2,41.4,
3202433,1246.0,1246.0,,78.0,152.0,29.1,34.6,38.7,
3216951,12451.7,12451.7,,859.0,1180.0,,,,
3232728,15189.7,15189.7,,922.0,1086.0,,,,
3232748,15747.7,15747.7,,1096.0,1308.0,,,,
3232919,1387.3,1387.3,,111.0,132.0,26.1,34.3,39.1,
3244642,870.7,870.7,,98.0,114.0,30.2,38.2,42.8,
3244690,543.0,543.0,,74.0,47.0,39.9,46.9,51.2,
3244890,2388.3,2388.3,,275.0,231.0,31.1,38.8,43.4,
3244933,215.0,215.0,,16.0,23.0,36.9,47.9,54.0,
3246804,957.0,957.0,,133.0,83.0,40.5,49.2,54.0,
3252289,1010.0,1010.0,,154.0,126.0,40.5,52.1,58.6,
3252682,2085.0,2085.0,,228.0,231.0,37.1,44.8,51.2,
3256251,8100.0,8100.0,,739.0,684.0,,,,
3259848,9400.0,9400.0,,743.0,984.0,,,,
3267181,780.0,780.0,,93.0,82.0,36.8,44.2,49.0,
3272063,9537.3,9537.3,,617.0,844.0,,,,
3307061,198.5,198.5,,13.0,23.0,34.1,44.4,49.4,
3326891,2545.3,2545.3,,189.0,192.0,41.1,49.5,54.6,
3326929,13019.0,13019.0,,983.0,966.0,,,,
3326992,17661.3,17661.3,,1335.0,1265.0,,,,
3327026,1059.0,1059.0,,156.0,112.0,28.8,34.8,39.0,
3327053,20877.0,20877.0,,1180.0,1894.0,,,,
3327055,25698.0,25698.0,,1699.0,1958.0,58.2,68.1,74.4,
3327137,6474.3,6474.3,,362.0,641.0,,,,
3327208,24679.3,24679.3,,2270.0,1531.0,,,,
3331569,605.0,605.0,,54.0,76.0,39.9,48.6,53.8,
3337339,2089.7,2089.7,,200.0,201.0,40.7,47.7,51.5,
3337466,155.0,155.0,,14.0,11.0,24.8,34.3,39.4,
3337527,2376.0,2620.8,1764.0,173.0,221.0,27.8,37.1,41.9,
3354603,43430.3,43430.3,,2995.0,3015.0,,,,
3369767,35746.0,35746.0,,2634.0,2661.0,,,,
