centreline_id,segment_length,crash_count,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct,log_volume,crash_rate,exposure,log_exposure
60029963,93.26405391679778,0,23567.0,23567.0,,1298.0,1787.0,,,,,10.067602707388096,0.0,2197953.9586571734,14.60303746680055
60001565,233.18065141457132,0,1991.0,1991.0,,221.0,179.0,52.8,58.7,63.4,,7.596392304064196,0.0,464262.67696641147,13.048205785177975
440805,110.86902228942218,0,4235.5,4235.5,,529.0,342.0,39.1,44.3,48.5,,8.351256663871606,0.0,469585.7439068476,13.059606189085569
440967,137.0265948584017,0,4138.5,4138.5,,505.0,361.0,41.5,48.2,52.8,,8.32808868232545,0.0,567084.5628214955,13.24826371236816
441133,353.2116330607852,0,274.0,274.0,,54.0,32.0,35.5,46.7,49.4,,5.6131281063880705,0.0,96779.98745865515,11.48019551076118
11542030,82.91249579167392,27,1872.0,1872.0,,192.0,184.0,,,,,7.534762657037537,325.6445212774712,155212.19212201357,11.95254844113298
7730086,48.876871876423195,0,12750.3,12750.3,,652.0,798.0,,,,,9.453310079721524,0.0,623194.7794859586,13.342614396555511
7641989,54.147509596884824,0,7871.7,7871.7,,760.0,526.0,,,,,8.971029328249797,0.0,426232.9512937983,12.962741309815268
7730035,232.000288193978,0,17070.0,17070.0,,1296.0,1288.0,,,,,9.745077815788486,0.0,3960244.9194712047,15.191816429669448
1144187,56.90391416572802,0,14649.0,14649.0,,838.0,1022.0,,,,,9.59212735272977,0.0,833585.4386137497,13.633491481754954
30073991,278.86519477474184,0,13069.3,13702.4,11486.5,1006.0,1138.0,,,,,9.478021247418123,0.0,3644572.890069533,15.108749739623486
14037689,61.011747843844354,0,11106.0,11106.0,,1139.0,596.0,,,,,9.315240781801553,0.0,677596.4715537354,13.426307215036259
